OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,COUNT_ALL_RACES_ETHNICITIES,COUNT_ASIAN_PI_NH,COUNT_BLACK_NH,COUNT_HISPANIC,COUNT_MULTIRACIAL_NH,COUNT_WHITE_NH,PERCENT_ASIAN_PI_NH,PERCENT_BLACK_NH,PERCENT_HISPANIC,PERCENT_MULTIRACIAL_NH,PERCENT_WHITE_NH,Shape__Area,Shape__Length
120,42101012100,2010,Census tract,2547,107,1687,54,52,634,4.20102081,66.23478602,2.12014134,2.04161759,24.89202984,1502547.45703125,5607.91651424459
121,42101012201,2010,Census tract,2911,434,1089,112,103,1157,14.90896599,37.4098248,3.84747509,3.53830299,39.74579182,615149.4765625,3789.43896826913
122,42101012203,2010,Census tract,1120,255,338,37,32,443,22.76785714,30.17857143,3.30357143,2.85714286,39.55357143,382401.1328125,3146.22328055286
123,42101012204,2010,Census tract,3564,111,2363,92,94,893,3.11447811,66.30190797,2.58136925,2.63748597,25.05611672,1586564.92578125,7693.70591309805
124,42101012500,2010,Census tract,5210,798,562,281,112,3433,15.31669866,10.78694818,5.39347409,2.14971209,65.8925144,1552850.30078125,6987.08734132355
125,42101013100,2010,Census tract,1529,43,1081,106,33,257,2.81229562,70.69980379,6.93263571,2.15827338,16.80837148,549181.8671875,2974.72104639686
126,42101013200,2010,Census tract,2914,99,2297,223,52,226,3.3973919,78.82635553,7.65271105,1.78448868,7.75566232,727217.1953125,3428.85742936636
127,42101013300,2010,Census tract,2854,123,1082,240,62,1336,4.30974071,37.91170287,8.40925018,2.17238963,46.81149264,610072.26171875,3467.7339596011
128,42101013401,2010,Census tract,2288,62,78,66,23,2056,2.70979021,3.40909091,2.88461538,1.00524476,89.86013986,280806.90625,2311.70940188584
129,42101013402,2010,Census tract,2922,129,303,347,60,2076,4.41478439,10.36960986,11.87542779,2.05338809,71.04722793,406704.23046875,2588.71114445921
130,42101013500,2010,Census tract,3222,77,1248,251,59,1575,2.38981999,38.73370577,7.79019243,1.83116077,48.88268156,690216.046875,3555.76844834348
131,42101013601,2010,Census tract,2677,117,84,96,60,2316,4.37056406,3.13784087,3.58610385,2.2413149,86.51475532,285724.11328125,2467.79614265228
132,42101013602,2010,Census tract,3503,112,261,132,71,2917,3.19725949,7.45075649,3.76819869,2.02683414,83.27148159,400065.50390625,3037.05845139952
133,42101013700,2010,Census tract,4813,81,3651,164,117,789,1.68294203,75.85705381,3.40743819,2.43091627,16.39310202,1005421.1796875,4062.70201064666
134,42101013800,2010,Census tract,2061,19,1805,73,33,119,0.92188258,87.57884522,3.54196992,1.60116448,5.77389617,581822.5625,3471.42556034246
135,42101013900,2010,Census tract,3764,34,3027,212,63,418,0.90329437,80.41976621,5.63230606,1.67375133,11.10520723,959714.67578125,4676.78119489706
136,42101014000,2010,Census tract,3010,122,2265,172,50,385,4.05315615,75.24916944,5.71428571,1.66112957,12.79069767,749565.65234375,3464.15424550602
137,42101014100,2010,Census tract,2094,70,1552,255,22,188,3.34288443,74.1165234,12.17765043,1.05062082,8.97803247,958246.6953125,4743.71156698013
138,42101014200,2010,Census tract,3570,147,281,404,90,2641,4.11764706,7.87114846,11.31652661,2.5210084,73.97759104,1711259.12890625,6894.38129192307
139,42101014300,2010,Census tract,1439,54,62,103,30,1188,3.75260598,4.3085476,7.15774844,2.0847811,82.55733148,1410379.953125,6071.94323018246
140,42101014400,2010,Census tract,3105,61,488,1146,103,1302,1.96457327,15.71658615,36.90821256,3.31723027,41.93236715,1038906.65234375,4315.94853154732
141,42101014500,2010,Census tract,2464,103,1425,427,25,474,4.18019481,57.83279221,17.32954545,1.01461039,19.23701299,548061.77734375,2987.22161897946
142,42101014600,2010,Census tract,4289,207,2205,138,89,1617,4.82629984,51.41058522,3.21753322,2.07507578,37.70109583,758770.125,3621.68530754358
143,42101014700,2010,Census tract,3939,226,1641,186,112,1747,5.73749683,41.66031988,4.72201066,2.84336126,44.35135821,575856.828125,3078.46754673068
144,42101014800,2010,Census tract,785,31,702,23,10,18,3.94904459,89.42675159,2.92993631,1.27388535,2.29299363,325910.73046875,2365.76829042227
145,42101014900,2010,Census tract,3967,19,3723,114,57,40,0.47895135,93.84925637,2.87370809,1.43685405,1.00831863,772798.1328125,4444.96756464854
146,42101015101,2010,Census tract,2038,9,1942,32,24,19,0.44160942,95.28949951,1.57016683,1.17762512,0.93228656,329305.83984375,2527.61028201842
147,42101015102,2010,Census tract,4269,14,4081,87,50,19,0.32794565,95.59615835,2.037948,1.17123448,0.4450691,952993.953125,3922.435916455
148,42101015200,2010,Census tract,6133,21,5731,142,100,114,0.34240991,93.44529594,2.31534323,1.6305234,1.85879667,1137219.40234375,4764.5460516266
149,42101015300,2010,Census tract,4962,262,2225,135,96,2232,5.28012898,44.84079,2.72067715,1.93470375,44.98186215,800105.6328125,3574.20573768298
150,42101015600,2010,Census tract,1741,24,373,1109,16,209,1.37851809,21.4244687,63.69902355,0.91901206,12.00459506,732510.31640625,3525.76535466985
151,42101015700,2010,Census tract,2641,26,232,1493,62,814,0.98447558,8.78455131,56.53161681,2.34759561,30.82165846,827279.45703125,3734.87347329397
152,42101015800,2010,Census tract,5684,121,115,274,129,5037,2.12878255,2.02322308,4.82054891,2.2695285,88.61717101,989080.765625,4186.20336489578
153,42101016000,2010,Census tract,7002,161,183,424,132,6088,2.29934304,2.61353899,6.05541274,1.88517566,86.94658669,1229118.2890625,4440.0008964416
154,42101016100,2010,Census tract,5590,759,582,1736,111,2375,13.57781753,10.41144902,31.05545617,1.98568873,42.48658318,1206658.24609375,4596.32855655079
155,42101016200,2010,Census tract,2225,33,423,1664,12,83,1.48314607,19.01123596,74.78651685,0.53932584,3.73033708,622401.08203125,3719.00690409361
156,42101016300,2010,Census tract,3248,212,434,2434,11,150,6.5270936,13.36206897,74.93842365,0.33866995,4.6182266,975885.328125,4326.89418710351
157,42101016400,2010,Census tract,4564,19,1733,2709,36,56,0.41630149,37.971078,59.35582822,0.78878177,1.22699387,827289.7265625,3639.43755733501
158,42101016500,2010,Census tract,2758,12,2467,205,21,42,0.4350979,89.448876,7.43292241,0.76142132,1.52284264,673228.53515625,3799.97965732691
159,42101016600,2010,Census tract,1788,58,1327,109,34,249,3.24384787,74.21700224,6.09619687,1.901566,13.9261745,445350.54296875,3331.80303677317
160,42101016701,2010,Census tract,3055,4,2857,68,42,58,0.1309329,93.5188216,2.22585925,1.37479542,1.898527,433321.68359375,3215.22180895992
161,42101016702,2010,Census tract,2903,35,2544,85,44,178,1.20564933,87.6334826,2.92800551,1.51567344,6.13158801,605694.61328125,3326.52756451634
162,42101016800,2010,Census tract,3935,15,3730,84,50,42,0.38119441,94.79034307,2.13468869,1.27064803,1.06734435,991501.46484375,4375.75959451503
163,42101016901,2010,Census tract,3466,10,3295,71,43,26,0.28851702,95.06635892,2.04847086,1.2406232,0.75014426,874893.74609375,3908.43228184524
164,42101016902,2010,Census tract,5524,2,5288,109,84,26,0.03620565,95.72773353,1.97320782,1.52063722,0.47067343,961568.03125,4067.20933436082
165,42101017000,2010,Census tract,2953,56,2198,129,27,533,1.89637657,74.43278022,4.36843888,0.91432442,18.04944125,2764059.00390625,7709.55002437568
166,42101017100,2010,Census tract,4047,3,3871,81,49,34,0.07412898,95.65109958,2.00148258,1.21077341,0.84012849,1946094.48046875,6674.44190309329
167,42101017201,2010,Census tract,3194,10,3037,74,33,25,0.31308704,95.0845335,2.31684408,1.03318723,0.7827176,448625.9140625,3333.14348551283
168,42101017202,2010,Census tract,4056,7,3862,112,45,18,0.17258383,95.21696252,2.76134122,1.10946746,0.44378698,495704.828125,3134.96838979466
169,42101017300,2010,Census tract,3165,23,2878,129,37,87,0.72669826,90.93206951,4.07582938,1.16903633,2.74881517,1492162.40234375,5638.26945712479
170,42101017400,2010,Census tract,2419,14,2185,158,33,25,0.57875155,90.32658123,6.53162464,1.36420008,1.03348491,603870.32421875,3097.31562103564
171,42101017500,2010,Census tract,7016,23,1814,5025,36,99,0.32782212,25.85518814,71.62200684,0.51311288,1.41106043,1238756.30859375,4844.33793325215
